pid,name,username,cpu_percent,memory_info
1536,IntelCpHDCPSvc.exe,,0.0,"pmem(rss=6303744, vms=1490944, num_page_faults=3380, peak_wset=8470528, wset=6303744, peak_paged_pool=88960, paged_pool=87176, peak_nonpaged_pool=10192, nonpaged_pool=8352, pagefile=1490944, peak_pagefile=1744896, private=1490944)"
1576,svchost.exe,,0.0,"pmem(rss=5300224, vms=1687552, num_page_faults=2272, peak_wset=6930432, wset=5300224, peak_paged_pool=82112, paged_pool=76416, peak_nonpaged_pool=10984, nonpaged_pool=10440, pagefile=1687552, peak_pagefile=1855488, private=1687552)"
1608,msedge.exe,DESKTOP-5JAJVCB\taylor,0.0,"pmem(rss=149000192, vms=90271744, num_page_faults=458939, peak_wset=251080704, wset=149000192, peak_paged_pool=1327560, paged_pool=1091800, peak_nonpaged_pool=35288, nonpaged_pool=27200, pagefile=90271744, peak_pagefile=152408064, private=90271744)"
1620,conhost.exe,DESKTOP-5JAJVCB\taylor,0.0,"pmem(rss=6676480, vms=1433600, num_page_faults=1725, peak_wset=6692864, wset=6676480, peak_paged_pool=138688, paged_pool=137312, peak_nonpaged_pool=8896, nonpaged_pool=8144, pagefile=1433600, peak_pagefile=1507328, private=1433600)"
1764,svchost.exe,,0.0,"pmem(rss=11239424, vms=8798208, num_page_faults=32025, peak_wset=11878400, wset=11239424, peak_paged_pool=62224, paged_pool=60384, peak_nonpaged_pool=35352, nonpaged_pool=29848, pagefile=8798208, peak_pagefile=9797632, private=8798208)"
1776,svchost.exe,,0.0,"pmem(rss=14897152, vms=6811648, num_page_faults=12822, peak_wset=16498688, wset=14897152, peak_paged_pool=337952, paged_pool=277568, peak_nonpaged_pool=23688, nonpaged_pool=17448, pagefile=6811648, peak_pagefile=7688192, private=6811648)"
1828,svchost.exe,,0.0,"pmem(rss=13455360, vms=3522560, num_page_faults=4842, peak_wset=14913536, wset=13455360, peak_paged_pool=167840, paged_pool=161536, peak_nonpaged_pool=15096, nonpaged_pool=14136, pagefile=3522560, peak_pagefile=4055040, private=3522560)"
1836,svchost.exe,,0.0,"pmem(rss=10190848, vms=2490368, num_page_faults=3762, peak_wset=12365824, wset=10190848, peak_paged_pool=121016, paged_pool=119208, peak_nonpaged_pool=13456, nonpaged_pool=12368, pagefile=2490368, peak_pagefile=2899968, private=2490368)"
1872,chrome.exe,DESKTOP-5JAJVCB\taylor,0.0,"pmem(rss=104767488, vms=62570496, num_page_faults=64013, peak_wset=139067392, wset=104767488, peak_paged_pool=1071024, paged_pool=741960, peak_nonpaged_pool=40000, nonpaged_pool=26800, pagefile=62570496, peak_pagefile=81031168, private=62570496)"
1892,StartMenuExperienceHost.exe,,0.0,"pmem(rss=184320, vms=21061632, num_page_faults=6724, peak_wset=26324992, wset=184320, peak_paged_pool=665304, paged_pool=4224, peak_nonpaged_pool=250184, nonpaged_pool=224888, pagefile=21061632, peak_pagefile=69615616, private=21061632)"
1904,IntelCpHeciSvc.exe,,0.0,"pmem(rss=6410240, vms=1687552, num_page_faults=3345, peak_wset=8212480, wset=6410240, peak_paged_pool=74768, paged_pool=73576, peak_nonpaged_pool=9376, nonpaged_pool=7672, pagefile=1687552, peak_pagefile=1769472, private=1687552)"
1912,svchost.exe,,0.0,"pmem(rss=6938624, vms=2732032, num_page_faults=4241, peak_wset=9039872, wset=6938624, peak_paged_pool=85496, paged_pool=83816, peak_nonpaged_pool=29916, nonpaged_pool=10352, pagefile=2732032, peak_pagefile=4071424, private=2732032)"
1992,svchost.exe,,0.0,"pmem(rss=10194944, vms=2981888, num_page_faults=9569, peak_wset=11378688, wset=10194944, peak_paged_pool=92992, paged_pool=91376, peak_nonpaged_pool=12776, nonpaged_pool=10736, pagefile=2981888, peak_pagefile=3604480, private=2981888)"
2052,svchost.exe,,0.0,"pmem(rss=12701696, vms=5758976, num_page_faults=8196, peak_wset=13856768, wset=12701696, peak_paged_pool=118648, paged_pool=110856, peak_nonpaged_pool=28840, nonpaged_pool=16968, pagefile=5758976, peak_pagefile=7274496, private=5758976)"
2076,SystemSettings.exe,DESKTOP-5JAJVCB\taylor,0.0,"pmem(rss=2215936, vms=60440576, num_page_faults=38569, peak_wset=132276224, wset=2215936, peak_paged_pool=1221784, paged_pool=1100792, peak_nonpaged_pool=50848, nonpaged_pool=48056, pagefile=60440576, peak_pagefile=100601856, private=60440576)"
2080,RAVBg64.exe,,0.0,"pmem(rss=14454784, vms=6078464, num_page_faults=5298, peak_wset=16084992, wset=14454784, peak_paged_pool=224208, paged_pool=199184, peak_nonpaged_pool=16704, nonpaged_pool=14608, pagefile=6078464, peak_pagefile=6316032, private=6078464)"
2172,svchost.exe,,0.0,"pmem(rss=4927488, vms=1732608, num_page_faults=2009, peak_wset=6553600, wset=4927488, peak_paged_pool=64904, paged_pool=62520, peak_nonpaged_pool=8016, nonpaged_pool=7472, pagefile=1732608, peak_pagefile=1789952, private=1732608)"
2180,svchost.exe,,0.0,"pmem(rss=11513856, vms=3174400, num_page_faults=43776, peak_wset=11956224, wset=11513856, peak_paged_pool=101080, paged_pool=100808, peak_nonpaged_pool=14320, nonpaged_pool=12960, pagefile=3174400, peak_pagefile=3649536, private=3174400)"
2280,svchost.exe,,0.0,"pmem(rss=10207232, vms=4091904, num_page_faults=7599, peak_wset=11321344, wset=10207232, peak_paged_pool=112872, paged_pool=112200, peak_nonpaged_pool=22104, nonpaged_pool=14928, pagefile=4091904, peak_pagefile=5918720, private=4091904)"
2328,svchost.exe,,0.0,"pmem(rss=14032896, vms=2437120, num_page_faults=4591, peak_wset=14917632, wset=14032896, peak_paged_pool=103104, paged_pool=102832, peak_nonpaged_pool=11752, nonpaged_pool=10800, pagefile=2437120, peak_pagefile=2719744, private=2437120)"
2340,svchost.exe,,0.0,"pmem(rss=19537920, vms=11665408, num_page_faults=76601, peak_wset=23166976, wset=19537920, peak_paged_pool=82840, paged_pool=82504, peak_nonpaged_pool=11336, nonpaged_pool=9784, pagefile=11665408, peak_pagefile=15417344, private=11665408)"
2400,atiesrxx.exe,,0.0,"pmem(rss=6217728, vms=1818624, num_page_faults=3745, peak_wset=7884800, wset=6217728, peak_paged_pool=80648, paged_pool=80144, peak_nonpaged_pool=11512, nonpaged_pool=9848, pagefile=1818624, peak_pagefile=2007040, private=1818624)"
2408,amdfendrsr.exe,,0.0,"pmem(rss=6332416, vms=2195456, num_page_faults=3194, peak_wset=8122368, wset=6332416, peak_paged_pool=99368, paged_pool=99096, peak_nonpaged_pool=9672, nonpaged_pool=8216, pagefile=2195456, peak_pagefile=2297856, private=2195456)"
2548,svchost.exe,,0.0,"pmem(rss=5939200, vms=1536000, num_page_faults=2352, peak_wset=7815168, wset=5939200, peak_paged_pool=65960, paged_pool=65848, peak_nonpaged_pool=9104, nonpaged_pool=8152, pagefile=1536000, peak_pagefile=1810432, private=1536000)"
2652,svchost.exe,,0.0,"pmem(rss=13647872, vms=2797568, num_page_faults=185691, peak_wset=18014208, wset=13647872, peak_paged_pool=129704, paged_pool=108768, peak_nonpaged_pool=13624, nonpaged_pool=12024, pagefile=2797568, peak_pagefile=8634368, private=2797568)"
2660,svchost.exe,,0.0,"pmem(rss=4730880, vms=1429504, num_page_faults=3670, peak_wset=6381568, wset=4730880, peak_paged_pool=76176, paged_pool=76168, peak_nonpaged_pool=8424, nonpaged_pool=7744, pagefile=1429504, peak_pagefile=1617920, private=1429504)"
2668,svchost.exe,,0.0,"pmem(rss=6733824, vms=2027520, num_page_faults=2874, peak_wset=8376320, wset=6733824, peak_paged_pool=74752, paged_pool=74656, peak_nonpaged_pool=10384, nonpaged_pool=9160, pagefile=2027520, peak_pagefile=2449408, private=2027520)"
2684,NVIDIA Share.exe,DESKTOP-5JAJVCB\taylor,0.0,"pmem(rss=35966976, vms=58859520, num_page_faults=13896, peak_wset=41504768, wset=35966976, peak_paged_pool=784288, paged_pool=779360, peak_nonpaged_pool=28384, nonpaged_pool=27160, pagefile=58859520, peak_pagefile=59027456, private=58859520)"
2716,msedge.exe,DESKTOP-5JAJVCB\taylor,0.0,"pmem(rss=151773184, vms=197963776, num_page_faults=665959, peak_wset=245628928, wset=151773184, peak_paged_pool=1634552, paged_pool=1171424, peak_nonpaged_pool=62760, nonpaged_pool=49288, pagefile=197963776, peak_pagefile=585691136, private=197963776)"
2728,ChsIME.exe,DESKTOP-5JAJVCB\taylor,0.0,"pmem(rss=8298496, vms=1503232, num_page_faults=2253, peak_wset=8556544, wset=8298496, peak_paged_pool=126744, paged_pool=125160, peak_nonpaged_pool=9088, nonpaged_pool=8272, pagefile=1503232, peak_pagefile=1679360, private=1503232)"
2768,MemCompression,,0.0,"pmem(rss=157065216, vms=606208, num_page_faults=176757, peak_wset=321556480, wset=157065216, peak_paged_pool=4224, paged_pool=4224, peak_nonpaged_pool=0, nonpaged_pool=0, pagefile=606208, peak_pagefile=839680, private=606208)"
2812,svchost.exe,,0.0,"pmem(rss=7774208, vms=2068480, num_page_faults=3329, peak_wset=8859648, wset=7774208, peak_paged_pool=82040, paged_pool=80152, peak_nonpaged_pool=14560, nonpaged_pool=12496, pagefile=2068480, peak_pagefile=2539520, private=2068480)"
2840,igfxCUIService.exe,,0.0,"pmem(rss=8351744, vms=2052096, num_page_faults=4457, peak_wset=10326016, wset=8351744, peak_paged_pool=103336, paged_pool=93872, peak_nonpaged_pool=12568, nonpaged_pool=10120, pagefile=2052096, peak_pagefile=2265088, private=2052096)"
2884,svchost.exe,,0.0,"pmem(rss=7487488, vms=2457600, num_page_faults=4839, peak_wset=9424896, wset=7487488, peak_paged_pool=101008, paged_pool=99280, peak_nonpaged_pool=18008, nonpaged_pool=10112, pagefile=2457600, peak_pagefile=2932736, private=2457600)"
2892,svchost.exe,,0.0,"pmem(rss=7225344, vms=2056192, num_page_faults=43129, peak_wset=21295104, wset=7225344, peak_paged_pool=504896, paged_pool=125048, peak_nonpaged_pool=16024, nonpaged_pool=10176, pagefile=2056192, peak_pagefile=8335360, private=2056192)"
3048,svchost.exe,,0.0,"pmem(rss=7946240, vms=2543616, num_page_faults=27137, peak_wset=10059776, wset=7946240, peak_paged_pool=91728, paged_pool=91424, peak_nonpaged_pool=18816, nonpaged_pool=10632, pagefile=2543616, peak_pagefile=5722112, private=2543616)"
3100,svchost.exe,,0.0,"pmem(rss=8044544, vms=3891200, num_page_faults=17892, peak_wset=10641408, wset=8044544, peak_paged_pool=93392, paged_pool=89136, peak_nonpaged_pool=29104, nonpaged_pool=14400, pagefile=3891200, peak_pagefile=5238784, private=3891200)"
3108,svchost.exe,,0.0,"pmem(rss=13488128, vms=2846720, num_page_faults=5734, peak_wset=13856768, wset=13488128, peak_paged_pool=132864, paged_pool=131328, peak_nonpaged_pool=25024, nonpaged_pool=17264, pagefile=2846720, peak_pagefile=3444736, private=2846720)"
3156,AppleMobileDeviceProcess.exe,DESKTOP-5JAJVCB\taylor,0.0,"pmem(rss=14426112, vms=3555328, num_page_faults=9320, peak_wset=14843904, wset=14426112, peak_paged_pool=274640, paged_pool=274096, peak_nonpaged_pool=19776, nonpaged_pool=18152, pagefile=3555328, peak_pagefile=4055040, private=3555328)"
